NASA moon program	Artemis
COP28 stands for	28th meeting of the Conference of the Parties (COP) 
COP28 at	Dubai
COP28 topic	Climate change
Vyas Samman 	Pushpa Bharati
Japan's new moon mission	SLIM (Soft Lander for Investigating Moon)
Republic day chief guest	Macron
Khel Ratna 2023 	Satwik & Chirag (Badminton)
Azad Trophy 2023	Guru Nank Deb University
Khelo India Para games 2023 mascot	Ujjwala (sparrow)
Kehlo India Para games 2023 location	Delhi
Kehlo India Para games 2023 winner	Haryana
Men's hockey junior world cup 2023 winner	Germany

